Recipe,,Mood Label,Mood Note,Glass Category,Glass Used,Glass Note,Spec,Garnish,Method,Mood ID,,,,,,
Britannica Negroni Amaro,NEGRONI,Bitter Lover,"After-dinner, bold and bitter — Negroni Week Special, for those who think the original is too safe",Rocks,Rocks glass,Short tumbler for spirit-forward stirred drinks,30 ml Britannica London Fernet / 30 ml London dry gin / 30 ml sweet vermouth,Grapefruit twist,"Combine Britannica, gin and sweet vermouth in a mixing glass with plenty of ice. Stir for 30 seconds. Strain over a single large ice cube into a chilled rocks glass. Express a wide grapefruit twist over the drink, then rest it on the rim.",M01,,"BRIGHT AND CRISP
",,NEGRONI,"DARK AND BROODING
",Dispense Negroni Scuro
Dispense Negroni Scuro,NEGRONI,Brooding Evening,"Negroni Week Special — darker, more herbal territory than the classic",Rocks,Rocks glass,Short tumbler for spirit-forward stirred drinks,30 ml Dispense Modern British Amaro / 30 ml London dry gin / 30 ml sweet vermouth,Orange twist,"Add the Dispense, gin and sweet vermouth to a mixing glass filled with ice. Stir for 30 seconds. Strain into a chilled rocks glass over a single large ice cube. Express an orange twist over the surface, then drop it in.",M02,,"DARK AND BROODING
",,,"STRONG AND BITTER
",Britannica Negroni Amaro
Estate Negroni Sbagliato,FIZZ,Effervescent Aperitivo,"Negroni Week Special — bitter-sweet, effervescent, lighter than a stirred Negroni",Rocks,Rocks glass,Short tumbler suited to bubbly stirred lowballs,45 ml Estate English Sweet Vermouth / 30 ml Campari / 60 ml dry prosecco,Orange half-wheel,"Fill a rocks glass with ice cubes. Pour in the Estate sweet vermouth and Campari. Slowly pour chilled prosecco over the back of a bar spoon to keep bubbles lively. Give one gentle stir, then drop in an orange half-wheel.",M03,,"EASY AND LONG
",,,"BRIGHT AND CRISP
",Estate White Negroni
Asterley Bitter Lemon,HIGHBALL,Late Spring Aperitivo,"Mid-afternoon aperitivo with a sharp, citrus-forward edge",Highball,Tall (highball) glass,"Tall glass for long, fizzy aperitivo serves",45 ml Asterley Original Aperitivo / 15 ml fresh lemon juice / 120 ml bitter lemon tonic,Lemon wedge + rosemary sprig,"Fill a tall glass with ice. Pour in Asterley Original and fresh lemon juice. Pour bitter lemon tonic slowly down the side of the glass to preserve carbonation. Give one gentle stir, then add lemon wedge and rosemary sprig.",M04,,"STRONG AND BITTER
",,FIZZ,"FIZZY AND SOCIAL
",Cunard Passion Fruit Fizz
Cunard Chamomile Cooler,HIGHBALL,Late Spring Aperitivo,"Mid-afternoon aperitivo — gentle, floral, dangerously easy to drink",Highball,Tall glass,"Tall glass for floral, long sippers",60 ml Cunard English Dry Vermouth / 15 ml chamomile honey syrup / 90 ml chilled soda water,Lemon twist + chamomile flower,"In a tall glass, stir Cunard and chamomile honey syrup until honey dissolves. Fill with ice cubes, pour in chilled soda water, and stir once gently. Express a lemon twist over the surface and drop it in; add a chamomile flower if available.",M04,,"FIZZY AND SOCIAL
",,,"WARM AND SPICED
",Estate Rhubarb Spritz
Dispense Blood Orange Aperitivo,HIGHBALL,Late Spring Aperitivo,Mid-afternoon aperitivo — bittersweet with deep citrus edge,Wine,Large wine glass,Large wine glass for shaken sparkling aperitivos,45 ml Dispense Modern British Amaro / 30 ml fresh blood orange juice / 75 ml dry prosecco,Blood orange wheel,"Add Dispense and blood orange juice to a shaker with ice. Shake firmly for 8 seconds. Strain into a large wine glass over fresh ice, then top slowly with chilled prosecco. Float a blood orange wheel on the surface and serve immediately.",M04,,"WARM AND SPICED
",,,"EASY AND LONG
",Asterley Spritz
Estate Old Fashioned,OLD FASHIONED,Holiday Slow Sipper,"Holiday Cocktails collection — slower drink for warmer days, lower-ABV Old Fashioned riff",Rocks,Rocks glass,"Short tumbler for slow, spirit-forward sippers",60 ml Estate English Sweet Vermouth / 2 dashes Angostura bitters / 1 dash orange bitters,Orange peel and cherry,"Add Estate and both bitters to a mixing glass with ice. Stir for 20 seconds until properly chilled. Strain over a large ice sphere or cube in a rocks glass. Express an orange peel over the surface, drop it in alongside a dark cherry.",M05,,,,HIGHBALL,"BRIGHT AND CRISP
",Cunard Elderflower Spritz
Asterley Mule,HIGHBALL,Holiday Cocktails,"Holiday Cocktails collection — bright, refreshing mule for warmer days",Mug,Copper mug or tall glass,Copper mug (or tall glass) for icy fizzy mules,45 ml Asterley Original British Aperitivo / 15 ml fresh lime juice / 120 ml fiery ginger beer,Lime wheel and mint sprig,"Fill a copper mug or tall glass with ice. Pour in Asterley Original and lime juice. Top with ginger beer slowly, then stir once gently. Add a lime wheel and a sprig of mint (clap the mint between palms first to release oils).",M05,,,,,"EASY AND LONG
",Estate Strawberry Cobbler
Cunard Passion Fruit Fizz,HIGHBALL,Holiday Cocktails,"Holiday Cocktails collection — sharp, tropical and dry",Highball,Tall glass,"Tall glass for tropical, fizzy serves","45 ml Cunard English Dry Vermouth / 1 fresh passion fruit, halved / 10 ml fresh lime juice / 100 ml sparkling water",Passion fruit half,"Scoop the pulp from one passion fruit half directly into a tall glass (save the other half for garnish). Add ice, pour in the Cunard and lime juice, then top with sparkling water. Give a brief stir to distribute the passion fruit through the drink.",M05,,,,,"STRONG AND BITTER
",Britannica Fernet & Ginger
Dispense Espresso Highball,HIGHBALL,Summer Highballs,"Summer Highballs collection — long afternoons and warm evenings, sharp but refreshing",Highball,Tall glass,Tall glass for refreshing coffee highballs,30 ml Dispense Modern British Amaro / 30 ml cold espresso / 90 ml tonic water,Orange wheel,Pour Dispense and cold espresso into a tall glass filled with ice and let them settle. Top slowly with tonic water (the espresso will foam slightly). Float an orange wheel on top and serve immediately.,M06,,,,OLD FASHIONED,"EASY AND LONG
",South London Amaro Sour
Schofield's Cucumber Collins,HIGHBALL,Summer Highballs,"Summer Highballs collection — clean, light, an English-garden serve",Highball,Tall glass,Tall glass for garden-style Collinses,45 ml Schofield's English Dry Vermouth / 15 ml fresh lemon juice / 100 ml elderflower soda / 2 cucumber slices (muddled),Cucumber ribbon,"Lightly press two cucumber slices in the base of a tall glass. Add ice, pour in the Schofield's and lemon juice, then top with elderflower soda. Stir gently once. Thread a long cucumber ribbon onto a cocktail pick for garnish.",M06,,,,,"STRONG AND BITTER
",Dispense Boulevardier
Asterley Paloma Highball,HIGHBALL,Summer Highballs,"Summer Highballs collection — quick build, easy sipping for long afternoons",Highball,Tall highball glass,Tall highball for citrus-forward refreshers,45 ml Asterley Original British Aperitivo / 15 ml fresh lime juice / 100 ml sparkling grapefruit soda,Grapefruit wedge,"Fill a tall highball glass with ice. Pour in Asterley Original and lime juice. Top with cold sparkling grapefruit soda and give it one gentle stir. Squeeze a grapefruit wedge over the top, drop it in, and serve with a straw.",M06,,,,,"DARK AND BROODING
",Estate Old Fashioned
